Course_ID,Course_Name,Category,Subcategory,Language,Instructor,Duration_Hours,Views,Ratings,Number_of_Reviews,Skills,Subtitles,Course_Level,Course_Price,Enrollment,Course_Date
CRS10450,Mastering Video Editing in 2025, Photography & Video ,Video Editing,German,sara khan,2.0,2342,3.9,109.0,"Power BI, Node.js, Accounting",yes,Intermediate,99.99,447,2025/05/06
CRS10045,Mastering Network & Security in 2025,IT & Software, Network & Security ,Hindi,Liam Rossi,6.1,5614,3.9,272.0,Negotiation,Y,All Levels,24.99,523,2025-09-26
CRS10209,The Ultimate Network & Security Course, IT & Software ,Network & Security,Eng,Sofia Johnson.,11.3,4834,4.3,176.0,"Music Theory, Accounting",No,All Levels,0.0,1147,03-23-2023
CRS10670,Practical Video Editing Projects,Photography & Video,Video Editing,Arabic,Ahmed Nguyen,14.5,3.3k,3.8,67.0,"Music Theory, Kubernetes",Yes,Intermediate,79.99,348,02-03-2024
CRS10482,The Ultimate Videography Course,Photography & Video,Videography,Spanish,Emily Rossi,3.4,1926,4.1,105.0,Video Editing,no,Intermediate,0.0,175,2025/02/21
CRS10310,Practical Programming Languages Projects,Development,Programming Languages,Spanish,Kenji Garcia,3.3,8977,4.0,485.0,"Node.js, Python, Tableau, Statistics",N,Advanced,59.99,1891,03-08-2023
CRS10216,Complete Project Management Bootcamp,Business,Project Management,Mandarin,Yusuf Rossi,13.1,1254,4.7,,"Unity, After Effects, Guitar, Git",No,Advanced,99.99,204,24/03/2025
CRS10255,Advanced Business Strategy Masterclass,Business,Business Strategy,Portuguese,Aarav Kim,17.3,984,4.2,27.0,"Statistics, Video Editing",,Beginner,24.99,130,2025-09-19
CRS10445,Advanced Project Management Masterclass,Business,Project Management,English,Noah Kim,4.7,5182,3.9,143.0,"Python, Photoshop, Copywriting, Excel",,Advanced,99.99,903,2025/12/29
CRS10073,Videography Crash Course,Photography & Video,Videography,Spanish,neha petrov,16.7,1240,4.2,34.0,"Accounting, Piano, JavaScript, Music Theory",Y,Advanced,0.0,206,11-25-2023
CRS10291,Mastering Music Production in 2025,Music,Music Production,Japanese,Aarav Kim,7.3,2342,5.0,74.0,"Music Theory, Excel, JavaScript",N,Advanced,34.99,458,07-12-2024
CRS10526,Instruments for Beginners,Music,Instruments,Espanol,Anastasia Sharma,4.7,3362,3.8,138.0,"React, Tableau",Yes,Beginner,59.99,352,18/07/2023
CRS10087,Social Media Marketing Crash Course,Marketing,social media marketing,English,Michael Costa.,5.6,6925,3.9,132.0,"Photoshop, Deep Learning, Copywriting, Scrum",Yes,Beginner,9.99,824,2025/06/19
CRS10067,Practical Sales Projects,Business,Sales,arabic,  Thomas Kim  ,2.4,941,4.0,13.0,HTML/CSS,No,All Levels,49.99,193,2023/03/26
CRS10434,Practical Instruments Projects,MUSIC,Instruments,Mandarin,Neha Johnson,4.2,4937,3.7,122.0,"JavaScript, Statistics, Google Ads, Unreal Engine",Yes,Intermediate,59.99,952,2025-10-30
CRS10719,Practical Video Editing Projects,Photography & Video,Video Editing,portuguese,Lucia Kim,13.0,7505,4.1,251.0,"Statistics, Unity, Piano, Unreal Engine",No,Intermediate,49.99,1577,2024-11-21
CRS10584,Mastering Web Development in 2025,Development,Web Development,arabic,Maria Ito,11.1,8641,4.4,122.0,Public Speaking,yes,Advanced,0.0,1111,2023/11/22
CRS10449,Design Tools: Zero to Hero,Design,Design Tools,HINDI,  Rahul Kumar  ,4.6,"5,357",4.1,316.0,"Google Ads, Piano, SEO, Unreal Engine, JavaScript",N,Intermediate,24.99,340,08/03/2025
CRS10843,Practical Music Theory Projects,Music,Music Theory,Portuguese,Yusuf Chen,8.3,2236,3.9,56.0,"Financial Modeling, Azure, Photoshop, Node.js, Guitar",No,Beginner,0.0,153,2024-02-18
CRS10528,Practical Design Tools Projects, Design ,Design Tools,German,Rahul Kumar,5.5,1999,4.5,86.0,"JavaScript, Scrum, Data Visualization, Git",Yes,Advanced,49.99,410,2023/09/04
CRS10320,Productivity Crash Course,Personal Development,Productivity,HINDI,Olga Garcia,9.2,732,3.5,15.0,"Docker, Azure",,Advanced,59.99,41,2025-10-01
CRS10329,Photography Basics for Beginners,Photography & Video,Photography Basics,mandarin,emily ali,3.5,8584,5.0,468.0,"Google Ads, Piano, Excel",Yes,All Levels,0.0,747,02-27-2025
CRS10175,Advanced Music Production Masterclass,Music,Music Production,Mandarin,Anastasia Smith,4.6,4711,4.4,71.0,"Negotiation, Figma",yes,All Levels,99.99,1118,01-04-2025
CRS10071,Personal Finance for Beginners,Personal Development,Personal Finance,French,Wei Johnson.,6.6,3263,4.5,117.0,"Guitar, Music Theory, Excel, Negotiation, HTML/CSS",Yes,All Levels,9.99,573,29/11/2023
CRS10219,Mastering Digital Marketing in 2025,Marketing,Digital Marketing,Arabic,Carlos Singh,5.0,1385,3.7,41.0,"Excel, Unreal Engine",No,Intermediate,79.99,261,2023-12-14
CRS10245,Digital Marketing for Beginners,Marketing,Digital Marketing,Japanese,isabella brown,8.5,7095,5.0,397.0,"3D Modeling, Node.js",,All Levels,0.0,1059,2025/01/03
CRS10707,Videography Crash Course,Photography & Video,Videography,French,Anastasia Silva,5.4,2106,3.9,103.0,"Node.js, Scrum",,Intermediate,0.0,156,2025-10-30
CRS10282,Mastering Mobile Development in 2025,Development,Mobile Development,Arabic,Kenji Petrov,2.2,22591,4.4,769.0,"Copywriting, 3D Modeling, Git",,Advanced,0.0,4031,2023/01/17
CRS10260,Practical Instruments Projects,Music,Instruments,portuguese,grace kumar,2.5,409,4.4,23.0,Data Visualization,no,Beginner,19.99,84,25/04/2025
CRS10483,Mastering Social Media Marketing in 2025,Marketing,Social Media Marketing,Arabic,Yusuf Patel,2.6,3327,4.3,165.0,"AWS, Video Editing",No,Advanced,49.99,212,09-26-2023
CRS10805,Mastering Leadership in 2025,Personal Development,Leadership,Japanese,Thomas Kim,4.0,7201,3.8,254.0,"React, C++, 3D Modeling, HTML/CSS",No,Beginner,59.99,1480,2023/10/29
CRS10747,Advanced Project Management Masterclass,Business,Project Management,Espanol,Fatima Diaz,4.2,26984,4.4,924.0,"Unreal Engine, Figma, Google Ads, Excel",No,Advanced,99.99,1810,2023/11/30
CRS10798,Database Design: Zero to Hero,Development,Database Design,Hindi,Olga Reddy,4.1,4871,4.1,,"Power BI, Music Theory",N,Advanced,34.99,551,2025-03-25
CRS10704,The Ultimate Game Development Course,Development,Game Development,Hindi,Ahmed Kumar,4.2,11703,,314.0,"Piano, Guitar, C++",Yes,Advanced,34.99,2522,2023/12/23
CRS10478,Advanced IT Certifications Masterclass,It & Software,IT Certifications,Arabic,David Ali,7.3,75489,4.5,1680.0,"React, C++, Power BI",N,Beginner,79.99,4646,22/12/2023
CRS10815,Mastering Music Theory in 2025,Music,Music Theory,Hindi,Liam Novak,,2501,4.3,61.0,"Guitar, Negotiation, Networking, Unreal Engine, Agile",Yes,All Levels,12.99,397,09/01/2026
CRS10276,Personal Finance: Zero to Hero,Personal Development, Personal Finance ,german,Emily Sharma,8.7,4895,4.1,161.0,Kubernetes,No,Advanced,19.99,253,10-17-2023
CRS10446,Leadership: Zero to Hero, Personal Development ,Leadership,english,Wei Kim,3.0,1611,4.9,21.0,"Unreal Engine, Piano",Yes,Advanced,19.99,333,2023/09/21
CRS10452,Instruments Crash Course,MUSIC,Instruments,Japanese,Wei Kumar,3.9,3032,4.3,121.0,"React, Deep Learning, Python, HTML/CSS, Docker",N,Beginner,,198,12-30-2025
CRS10210,Social Media Marketing Crash Course,Marketing,social media marketing,Mandarin,Michael Johnson,8.6,4234,4.1,73.0,"Music Theory, Deep Learning",No,Advanced,,1047,2025-09-14
CRS10399,Practical Cybersecurity Projects,IT & SOFTWARE, Cybersecurity ,French,Lucia Reddy,5.8,3917,5.0,100.0,"Docker, Google Ads",Yes,Advanced,9.99,802,26/11/2024
CRS10451,SEO Crash Course,Marketing, SEO ,Japanese,Hiro Patel,1.8,1664,4.0,56.0,"Data Visualization, Public Speaking, Machine Learning",No,Beginner,12.99,172,11/07/2023
CRS10421,Network & Security for Beginners,IT & Software,NETWORK & SECURITY, English,Ahmed Chen,1.6,13963,4.0,780.0,"Excel, Music Theory, Data Visualization",No,Advanced,0.0,982,04-14-2024
CRS10632,Practical Business Strategy Projects, Business ,Business Strategy,French,NEHA KHAN,4.3,3253,3.9,58.0,Deep Learning,Yes,Beginner,12.99,640,04-08-2024
CRS10844,Videography: Zero to Hero,Photography & Video,Videography,Portuguese,Maria Garcia,4.1,2481,3.9,123.0,"Machine Learning, SQL, C++, 3D Modeling, AWS",no,Advanced,99.99,194,2023-02-19
CRS10040,The Ultimate Business Strategy Course,Business,Business Strategy,Mandarin,Wanjiru Garcia,6.0,1258,4.6,56.0,"Deep Learning, Piano, Excel",No,Advanced,19.99,153,2024-10-24
CRS10140,Design Tools Crash Course,Design,design tools,Hindi,Noah Sharma,6.4,3286,3.8,77.0,"Statistics, 3D Modeling",No,Intermediate,49.99,176,2023-05-30
CRS10312,Music Theory for Beginners,Music,Music Theory,french,Noah Singh,3.1,3867,3.8,41.0,"Financial Modeling, Agile, Networking",No,Beginner,49.99,626,12-25-2025
CRS10707,Videography Crash Course,Photography & Video,Videography,French,Anastasia Silva,5.4,2106,3.9,103.0,"Node.js, Scrum",Yes,Intermediate,0.0,156,2025-10-30
CRS10111,Practical Content Marketing Projects,Marketing,Content Marketing,Japanese,Aisha Mueller,11.3,4722,5.0,102.0,"JavaScript, Cybersecurity Basics, Public Speaking, Kubernetes",No,All Levels,0.0,1085,29/03/2024
CRS10410,The Ultimate Instruments Course,Music,Instruments,japanese,Wanjiru Silva,8.0,1958,4.2,98.0,"Guitar, Data Visualization",No,Beginner,34.99,277,27/02/2024
CRS10031,The Ultimate Business Strategy Course,Business,Business Strategy,Arabic,Olga Garcia,7.7,6136,4.5,87.0,"HTML/CSS, Guitar, Cybersecurity Basics",No,Advanced,24.99,505,2024-05-17
CRS10333,Cybersecurity: Zero to Hero,IT & Software,Cybersecurity,Hindi,Noah Reddy,20.3,"9,179",4.8,501.0,"Networking, Video Editing, After Effects",No,Beginner,0.0,1272,2025-05-31
CRS10212,Photography Basics for Beginners,Photography & Video,Photography Basics, English,Fatima Khan,16.0,2588,3.9,113.0,"C++, Power BI, AWS, After Effects, Azure",No,All Levels,79.99,631,02-08-2023
CRS10465,Practical Finance Projects,Business, Finance ,Japanese,Daniel Brown,10.2,59609,4.6,2582.0,"Python, AWS",No,Beginner,59.99,12367,07-21-2025
CRS10358,Practical Design Tools Projects,Design,Design Tools,Mandarin,Rahul Petrov,5.5,2678,3.6,147.0,"HTML/CSS, Azure, Git",No,Beginner,,196,11-17-2025
CRS10210,Social Media Marketing Crash Course,Marketing,social media marketing,Mandarin,Michael Johnson,8.6,4234,4.1,73.0,"Music Theory, Deep Learning",No,Advanced,49.99,1047,2025-09-14
CRS10717,Cloud Computing Crash Course,IT & Software,Cloud Computing,Portuguese,Thomas Mueller,10.0,1093,,55.0,Public Speaking,no,Beginner,12.99,138,2025/02/04
CRS10500,The Ultimate Web Development Course, Development ,web development,Portuguese,Elena Petrov,8.0,1984,3.7,85.0,"React, Docker, Unreal Engine",Yes,Beginner,59.99,422,14/11/2025
CRS10765,Design Tools for Beginners,DESIGN,Design Tools,English,Elena Singh,6.4,1201,4.9,68.0,"Financial Modeling, Java, Deep Learning",,All Levels,79.99,126,08-12-2024
CRS10300,IT Certifications for Beginners,IT & Software,IT CERTIFICATIONS,hindi,  Grace Diaz  ,7.4,11212,4.5,157.0,"Excel, Photoshop, Java, Python, Azure",No,Advanced,0.0,1588,23/07/2025
CRS10097,Web Development Crash Course,Development,Web Development,Portuguese,Emily Singh,5.8,57568,4.2,1392.0,"Data Visualization, Cybersecurity Basics",No,Intermediate,19.99,7058,10-19-2024
CRS10193,3D & Animation Crash Course,Design,3D & Animation,Portuguese,ahmed khan,3.6,4296,4.0,195.0,"Copywriting, Piano, Public Speaking, Node.js, Kubernetes",Yes,Advanced,99.99,963,08/12/2024
CRS10553,Mastering Photography Basics in 2025,Photography & Video,Photography Basics,Hin,Hiro Silva,7.0,853,4.3,29.0,"Photoshop, Google Ads, React, Negotiation, Unity",No,Beginner,0.0,84,06-01-2023
CRS10356,The Ultimate Digital Marketing Course,Marketing,Digital Marketing,English,Ahmed Rossi,2.7,2411,5.0,41.0,"Java, Kubernetes, Power BI, Google Ads, Public Speaking",no,Beginner,59.99,354,2025-02-20
CRS10637,The Ultimate UX/UI Design Course,Design,UX/UI Design,spanish,Michael Diaz,6.5,3609,4.5,43.0,"Guitar, HTML/CSS",No,Intermediate,19.99,473,2023/04/11
CRS10576,Advanced Music Theory Masterclass,Music,Music Theory,Hindi,Olga Diaz,5.0,597,5.0,28.0,"Scrum, Financial Modeling, Git",Yes,Intermediate,34.99,93,05/02/2025
CRS10266,Complete Instruments Bootcamp,Music,Instruments,French,Liam Petrov,10.7,5324,4.5,154.0,"Power BI, Azure",Yes,Advanced,0.0,485,2023-10-25
CRS10619,Practical SEO Projects,Marketing,SEO,German,  Hiro Chen  ,10.3,14872,4.3,691.0,"C++, Unity, Copywriting, 3D Modeling",Yes,Beginner,49.99,2585,05-17-2024
CRS10653,Cloud Computing for Beginners, IT & Software , Cloud Computing ,Spanish,Aarav Diaz,4.8,4136,4.5,154.0,"Machine Learning, JavaScript, Deep Learning",No,All Levels,34.99,599,2025/02/19
CRS10111,Practical Content Marketing Projects,Marketing,Content Marketing,Japanese,Aisha Mueller,11.3,4722,5.0,102.0,"JavaScript, Cybersecurity Basics, Public Speaking, Kubernetes",No,All Levels,0.0,1085,29/03/2024
CRS10696,Advanced Photography Basics Masterclass,Photography & Video,PHOTOGRAPHY BASICS,arabic,  Isabella Johnson  ,14.3,327,4.4,13.0,"Figma, Unity",No,Advanced,0.0,81,23/01/2025
CRS10588,Mastering Programming Languages in 2025,Development,Programming Languages,portuguese,Yusuf Fernandez,5.6,9483,4.2,272.0,"Photoshop, JavaScript, Statistics, Java",Yes,Intermediate,34.99,1517,10-31-2024
CRS10345,Productivity for Beginners,Personal Development,Productivity,Arabic,Lucia Brown,1.4,2786,4.3,39.0,"Machine Learning, Photoshop, Copywriting",Yes,Intermediate,49.99,336,2024/10/11
CRS10353,The Ultimate Music Production Course,music, Music Production ,mandarin,Elena Reddy,10.6,0.7k,4.1,22.0,"AWS, Public Speaking, Networking, C++",No,All Levels,0.0,57,22/01/2024
CRS10773,Productivity Crash Course,personal development,PRODUCTIVITY,Arabic,Hiro Patel,6.2,8.6k,4.3,393.0,"Cybersecurity Basics, Photoshop, Guitar",Yes,Intermediate,34.99,1427,2023-02-03
CRS10328,Advanced UX/UI Design Masterclass,Design,UX/UI Design,Spanish,Isabella Sharma,8.9,679,4.7,8.0,"Video Editing, Cybersecurity Basics",No,Intermediate,49.99,156,08/08/2023
CRS10752,Mastering UX/UI Design in 2025,Design,UX/UI Design,Portuguese,Wanjiru Chen,3.9,2835,4.4,165.0,"Music Theory, Unity, HTML/CSS, Docker",,Beginner,49.99,691,01-25-2026
CRS10782,Mastering Project Management in 2025,business,Project Management,Arabic,Anastasia Reddy,15.0,6840,4.4,216.0,"Negotiation, SQL, Excel",no,Beginner,99.99,1074,2023-02-19
CRS10474,Mastering Cybersecurity in 2025,IT & Software,Cybersecurity,Mandarin,Neha Kumar,5.9,6342,5.0,124.0,"SEO, C++, Machine Learning, Public Speaking",,Intermediate,34.99,1406,12-23-2024
CRS10339,Advanced Sales Masterclass,Business,Sales,Mandarin,David Fernandez,3.9,3150,4.0,157.0,"Scrum, Piano, Azure, SQL, Node.js",yes,Intermediate,79.99,517,19/10/2025
CRS10121,Complete Cybersecurity Bootcamp,IT & Software,Cybersecurity,mandarin,Neha Rossi,14.7,"1,761",4.2,104.0,"Java, Copywriting, Public Speaking, Unreal Engine, Docker",No,Intermediate,34.99,383,10-15-2024
CRS10064,Complete Business Strategy Bootcamp,Business,Business Strategy,portuguese,Thomas Weber,2.8,"4,367",3.9,56.0,Photoshop,No,All Levels,59.99,698,2023/06/11
CRS10661,Web Development Crash Course,Development,Web Development,French,  Emily Kim  ,16.0,32544,4.8,1243.0,"Azure, Statistics, Figma",No,All Levels,0.0,3327,16/11/2023
CRS10784,Advanced SEO Masterclass,Marketing,Seo,spanish,Elena Singh,0.8,8673,,207.0,"Music Theory, Tableau, C++, Azure",no,Advanced,59.99,1136,03-28-2023
CRS10579,Game Development: Zero to Hero,development,Game Development,Japanese,Michael Petrov,5.7,21532,4.6,565.0,"AWS, Unity, Accounting",No,All Levels,34.99,1245,2023-05-06
CRS10066,Practical Network & Security Projects,IT & Software,Network & Security,Arabic,Hiro Ito,11.6,3115,4.4,44.0,"Node.js, Public Speaking, C++",No,All Levels,49.99,770,09-12-2024
CRS10501,Mastering Game Development in 2025,Development,Game Development,French,Liam Mueller,8.1,2617,4.5,37.0,"Piano, Google Ads, Scrum",yes,All Levels,34.99,496,2025/11/15
CRS10169,Advanced Game Development Masterclass,Development,Game Development,german,Wanjiru Weber,3.5,11926,5.0,278.0,"Java, Copywriting",,All Levels,24.99,2692,2024/07/05
CRS10384,Personal Finance Crash Course,personal development,Personal Finance,Hindi,OLGA DIAZ,7.9,4956,4.1,116.0,"Piano, Unity, JavaScript",,Intermediate,19.99,740,2025/04/13
CRS10079,Advanced Game Development Masterclass,Development,Game Development,Hindi,Olga Brown,2.1,12.3k,3.9,504.0,"Negotiation, Azure, Networking, Accounting",N,Advanced,0.0,1498,2025-05-19
CRS10137,Design Tools: Zero to Hero,DESIGN, Design Tools ,Hin,John Khan,1.9,407,5.0,10.0,"Python, Negotiation, React, Git",yes,All Levels,0.0,97,2024/04/13
CRS10558,Sales: Zero to Hero,Business,Sales,French,David Garcia,1.8,12.1k,4.3,328.0,"Tableau, Public Speaking, Excel, Git, JavaScript",,Advanced,12.99,2371,2023-03-14
CRS10548,Personal Finance: Zero to Hero,Personal Development,Personal Finance,Mandarin,Wei Sharma,2.8,"2,832",4.4,114.0,"Data Visualization, Accounting, Cybersecurity Basics",,Advanced,79.99,525,05/03/2023
CRS10634,UX/UI Design Crash Course,Design,UX/UI Design,portuguese,grace nguyen,9.4,10381,4.4,309.0,"Deep Learning, Agile, Kubernetes, Scrum, HTML/CSS",Yes,All Levels,0.0,1134,07-26-2024
CRS10261,Mastering Graphic Design in 2025,Design,Graphic Design,Arabic,Grace Weber,6.5,2066,5.0,46.0,"Git, Deep Learning",no,All Levels,24.99,450,2025-03-18
CRS10785,Complete Instruments Bootcamp,Music,Instruments,ENGLISH,Hiro Patel,8.1,2726,4.0,38.0,Accounting,yes,Advanced,59.99,220,2023/11/04
CRS10589,Videography Crash Course,Photography & Video, Videography ,japanese,Sara Chen,,1554,4.1,33.0,"Azure, Photoshop, Accounting, Negotiation, Video Editing",no,All Levels,,331,16/04/2024
CRS10757,Mobile Development: Zero to Hero,development,Mobile Development,German,Emily Reddy,5.9,2501,4.4,110.0,"Scrum, Video Editing, React, Cybersecurity Basics, HTML/CSS",Yes,Beginner,24.99,591,07-08-2023
CRS10532,Complete Music Production Bootcamp,Music,Music Production,SPANISH,Kenji Khan,12.7,1786,4.4,69.0,"Docker, After Effects",No,Advanced,12.99,264,17/02/2024
CRS10755,Programming Languages for Beginners,Development,Programming Languages,Japanese,aisha reddy,2.9,7.1k,4.6,263.0,"Piano, Negotiation, Azure, Guitar",yes,Beginner,99.99,705,2025-05-29
CRS10763,Complete Business Strategy Bootcamp,Business,Business Strategy,German,Olga Johnson,12.2,18724,4.2,1016.0,Java,Yes,Beginner,0.0,1260,2025-09-03
CRS10050,The Ultimate Sales Course,business,Sales,Mandarin,Neha Costa,11.1,45.7k,4.7,1415.0,"SEO, AWS, After Effects, Cybersecurity Basics, Google Ads",yes,Advanced,0.0,4548,2025-08-17
CRS10138,Social Media Marketing Crash Course,MARKETING,SOCIAL MEDIA MARKETING,Spanish,  Sara Khan  ,4.2,7178,4.7,358.0,"AWS, Agile, Financial Modeling, Kubernetes, Node.js",,All Levels,79.99,969,25/06/2025
CRS10199,The Ultimate Web Development Course,Development,Web Development,Arabic,Priya Singh,6.6,8739,4.6,411.0,Statistics,Yes,Advanced,0.0,1180,11-24-2025
CRS10636,Advanced Cybersecurity Masterclass,IT & Software,Cybersecurity,Arabic,john novak,6.4,63637,4.1,3273.0,"Docker, C++, Figma, SQL, Financial Modeling",No,Intermediate,79.99,13153,2025-12-22
CRS10232,Practical 3D & Animation Projects,Design,3D & Animation,spanish,Aarav Smith,3.9,5469,5.0,100.0,"Cybersecurity Basics, Scrum, Guitar",,All Levels,9.99,1079,09/01/2026
CRS10677,Content Marketing Crash Course,Marketing,Content Marketing,portuguese,Sara Johnson,2.5,6811,4.0,287.0,"Python, 3D Modeling, SQL, Copywriting, Statistics",Yes,All Levels,34.99,1355,2025-03-06
CRS10448,Photography Basics for Beginners,Photography & Video,Photography Basics,Hindi,Sara Costa,5.3,10.3k,4.9,205.0,Accounting,N,Advanced,9.99,1378,04-07-2024
CRS10552,The Ultimate SEO Course,Marketing,SEO,portuguese,Olga Novak,2.7,9360,4.2,122.0,"Azure, Scrum",Yes,Beginner,34.99,640,2024/06/23
CRS10382,Complete Network & Security Bootcamp, IT & Software ,NETWORK & SECURITY,japanese,John Zhang,10.8,188,4.4,7.0,"C++, Azure, After Effects",no,Intermediate,19.99,32,14/04/2025
CRS10034,Social Media Marketing: Zero to Hero,Marketing,SOCIAL MEDIA MARKETING,French,Carlos Fernandez,3.3,13352,4.5,572.0,"Music Theory, Unreal Engine, Google Ads, JavaScript, Docker",Yes,Advanced,9.99,2185,2024-09-11
CRS10032,Music Theory Crash Course,Music,Music Theory,portuguese,FATIMA KUMAR,10.9,3332,4.0,,"SEO, Unreal Engine, Piano",Yes,Intermediate,0.0,273,2024/05/09
CRS10519,Leadership: Zero to Hero,Personal Development, Leadership ,French,kenji diaz,6.7,6433,,156.0,"Agile, Music Theory, Azure, After Effects, Financial Modeling",N,All Levels,79.99,1354,05-04-2025
CRS10666,Mastering Video Editing in 2025,Photography & Video,Video Editing,German,Sofia Garcia,5.6,8660,4.3,171.0,"SQL, Agile, Tableau, Photoshop",No,Advanced,59.99,472,26/11/2023
CRS10417,Complete Photography Basics Bootcamp,Photography & Video,Photography Basics,Portuguese,  Sara Singh  ,2.7,5868,,86.0,AWS,yes,Beginner,34.99,796,2025-11-15
CRS10315,Practical Social Media Marketing Projects,MARKETING, Social Media Marketing ,Portuguese,daniel smith,7.1,448,4.1,15.0,"HTML/CSS, AWS",yes,Advanced,9.99,96,26/12/2023
CRS10681,Design Tools for Beginners,Design,Design Tools,Arabic,Fatima Kumar.,8.8,2504,4.1,111.0,Agile,Yes,Beginner,0.0,598,27/12/2023
CRS10488,Practical Instruments Projects,Music,instruments,Hindi,Isabella Khan,9.1,203,4.4,2.0,"Public Speaking, 3D Modeling",Yes,All Levels,0.0,25,2025/01/10
CRS10627,Advanced Personal Finance Masterclass,PERSONAL DEVELOPMENT,Personal Finance,japanese,Aarav Sharma,5.0,18517,4.4,1082.0,Financial Modeling,No,Advanced,0.0,2325,06-08-2025
CRS10110,Web Development for Beginners,Development,Web Development,Japanese,Wanjiru Rossi,,3935,4.2,113.0,"Docker, React",yes,All Levels,12.99,560,2024/02/23
CRS10078,Practical Network & Security Projects,it & software,Network & Security,Spanish,John Weber,5.9,5508,4.2,90.0,"Docker, Excel, Public Speaking",,All Levels,59.99,1326,08-27-2025
CRS10306,Leadership: Zero to Hero,personal development,Leadership,French,Wanjiru Fernandez,6.9,1407,4.8,81.0,"Unity, Networking, Power BI, Git",Yes,All Levels,9.99,127,03-04-2025
CRS10083,Advanced Instruments Masterclass,Music,Instruments,Arabic,Wanjiru Johnson,4.8,656,3.5,36.0,"Machine Learning, Public Speaking, Financial Modeling, Tableau",No,Advanced,19.99,78,19/11/2023
CRS10297,Project Management for Beginners,Business,Project Management,English,Yusuf Reddy,4.1,10604,3.8,211.0,"Negotiation, Copywriting, Deep Learning",Yes,Beginner,24.99,1729,12-30-2025
CRS10799,Practical Photography Basics Projects,Photography & Video,Photography Basics,hindi,Emily Garcia,1.6,2699,3.8,104.0,"Financial Modeling, Power BI, Git",No,Intermediate,34.99,665,2023/08/11
CRS10197,Complete Business Strategy Bootcamp,Business,Business Strategy,mandarin,Wei Garcia,4.3,29602,4.5,634.0,"Scrum, C++, Excel",Yes,Advanced,79.99,7378,04-15-2023
CRS10685,Mastering Photography Basics in 2025,Photography & Video,Photography Basics,Portuguese,wanjiru diaz,10.0,7878,4.5,145.0,"Azure, C++, Unity, Kubernetes",Yes,All Levels,49.99,478,11-03-2023
CRS10317,Advanced Content Marketing Masterclass,Marketing,Content Marketing,Spanish,Anastasia Ali,4.6,17652,4.9,487.0,"Excel, Java, Piano, React",Yes,All Levels,79.99,3853,2024/03/27
CRS10502,3D & Animation Crash Course, Design ,3D & Animation,Hindi,Daniel Ito,3.2,464,4.2,17.0,"Git, Agile, Unreal Engine, SEO",no,Beginner,79.99,26,2025/02/23
CRS10006,Business Strategy Crash Course,Business, Business Strategy ,Arabic,Isabella Sharma,7.2,2286,4.2,101.0,"SEO, Negotiation, React, Google Ads, Git",Yes,Beginner,19.99,315,22/10/2025
CRS10055,Mastering Entrepreneurship in 2025,Business,entrepreneurship,English,Neha Patel,6.2,9169,4.1,341.0,"Power BI, Java, Data Visualization",No,Beginner,49.99,2184,07-07-2025
