Course_ID,Course_Name,Category,Subcategory,Language,Instructor,Duration_Hours,Views,Ratings,Number_of_Reviews,Skills,Skill_Count,Subtitles,Course_Level,Course_Price,Enrollment,Course_Date,Course_Year,Course_Month,Views_Outlier,Duration_Outlier
CRS10077,Complete Project Management Bootcamp,Business,Project Management,Mandarin,Priya Diaz,11.6,3902,4.8,119,Financial Modeling,1,No,Advanced,12.99,408,2023-08-01,2023,8,False,False
CRS10450,Mastering Video Editing in 2025,Photography & Video,Video Editing,German,Sara Khan,2.0,2342,3.9,109,"Power BI, Node.js, Accounting",3,Yes,Intermediate,99.99,447,2025-05-06,2025,5,False,False
CRS10045,Mastering Network & Security in 2025,It & Software,Network & Security,Hindi,Liam Rossi,6.1,5614,3.9,272,Negotiation,1,Yes,All Levels,24.99,523,2025-09-26,2025,9,False,False
CRS10209,The Ultimate Network & Security Course,It & Software,Network & Security,English,Sofia Johnson,11.3,4834,4.3,176,"Music Theory, Accounting",2,No,All Levels,0.0,1147,2023-03-23,2023,3,False,False
CRS10670,Practical Video Editing Projects,Photography & Video,Video Editing,Arabic,Ahmed Nguyen,14.5,3300,3.8,67,"Music Theory, Kubernetes",2,Yes,Intermediate,79.99,348,2024-02-03,2024,2,False,True
CRS10482,The Ultimate Videography Course,Photography & Video,Videography,Spanish,Emily Rossi,3.4,1926,4.1,105,Video Editing,1,No,Intermediate,0.0,175,2025-02-21,2025,2,False,False
CRS10310,Practical Programming Languages Projects,Development,Programming Languages,Spanish,Kenji Garcia,3.3,8977,4.0,485,"Node.js, Python, Tableau, Statistics",4,No,Advanced,59.99,1891,2023-03-08,2023,3,False,False
CRS10216,Complete Project Management Bootcamp,Business,Project Management,Mandarin,Yusuf Rossi,13.1,1254,4.7,0,"Unity, After Effects, Guitar, Git",4,No,Advanced,99.99,204,2025-03-24,2025,3,False,False
CRS10255,Advanced Business Strategy Masterclass,Business,Business Strategy,Portuguese,Aarav Kim,17.3,984,4.2,27,"Statistics, Video Editing",2,No,Beginner,24.99,130,2025-09-19,2025,9,False,True
CRS10445,Advanced Project Management Masterclass,Business,Project Management,English,Noah Kim,4.7,5182,3.9,143,"Python, Photoshop, Copywriting, Excel",4,No,Advanced,99.99,903,2025-12-29,2025,12,False,False
CRS10073,Videography Crash Course,Photography & Video,Videography,Spanish,Neha Petrov,16.7,1240,4.2,34,"Accounting, Piano, JavaScript, Music Theory",4,Yes,Advanced,0.0,206,2023-11-25,2023,11,False,True
CRS10291,Mastering Music Production in 2025,Music,Music Production,Japanese,Aarav Kim,7.3,2342,5.0,74,"Music Theory, Excel, JavaScript",3,No,Advanced,34.99,458,2024-07-12,2024,7,False,False
CRS10526,Instruments for Beginners,Music,Instruments,Spanish,Anastasia Sharma,4.7,3362,3.8,138,"React, Tableau",2,Yes,Beginner,59.99,352,2023-07-18,2023,7,False,False
CRS10087,Social Media Marketing Crash Course,Marketing,Social Media Marketing,English,Michael Costa,5.6,6925,3.9,132,"Photoshop, Deep Learning, Copywriting, Scrum",4,Yes,Beginner,9.99,824,2025-06-19,2025,6,False,False
CRS10067,Practical Sales Projects,Business,Sales,Arabic,Thomas Kim,2.4,941,4.0,13,HTML/CSS,1,No,All Levels,49.99,193,2023-03-26,2023,3,False,False
CRS10434,Practical Instruments Projects,Music,Instruments,Mandarin,Neha Johnson,4.2,4937,3.7,122,"JavaScript, Statistics, Google Ads, Unreal Engine",4,Yes,Intermediate,59.99,952,2025-10-30,2025,10,False,False
CRS10719,Practical Video Editing Projects,Photography & Video,Video Editing,Portuguese,Lucia Kim,13.0,7505,4.1,251,"Statistics, Unity, Piano, Unreal Engine",4,No,Intermediate,49.99,1577,2024-11-21,2024,11,False,False
CRS10584,Mastering Web Development in 2025,Development,Web Development,Arabic,Maria Ito,11.1,8641,4.4,122,Public Speaking,1,Yes,Advanced,0.0,1111,2023-11-22,2023,11,False,False
CRS10449,Design Tools: Zero to Hero,Design,Design Tools,Hindi,Rahul Kumar,4.6,5357,4.1,316,"Google Ads, Piano, SEO, Unreal Engine, JavaScript",5,No,Intermediate,24.99,340,2025-03-08,2025,3,False,False
CRS10843,Practical Music Theory Projects,Music,Music Theory,Portuguese,Yusuf Chen,8.3,2236,3.9,56,"Financial Modeling, Azure, Photoshop, Node.js, Guitar",5,No,Beginner,0.0,153,2024-02-18,2024,2,False,False
CRS10528,Practical Design Tools Projects,Design,Design Tools,German,Rahul Kumar,5.5,1999,4.5,86,"JavaScript, Scrum, Data Visualization, Git",4,Yes,Advanced,49.99,410,2023-09-04,2023,9,False,False
CRS10320,Productivity Crash Course,Personal Development,Productivity,Hindi,Olga Garcia,9.2,732,3.5,15,"Docker, Azure",2,No,Advanced,59.99,41,2025-10-01,2025,10,False,False
CRS10329,Photography Basics for Beginners,Photography & Video,Photography Basics,Mandarin,Emily Ali,3.5,8584,5.0,468,"Google Ads, Piano, Excel",3,Yes,All Levels,0.0,747,2025-02-27,2025,2,False,False
CRS10175,Advanced Music Production Masterclass,Music,Music Production,Mandarin,Anastasia Smith,4.6,4711,4.4,71,"Negotiation, Figma",2,Yes,All Levels,99.99,1118,2025-01-04,2025,1,False,False
CRS10071,Personal Finance for Beginners,Personal Development,Personal Finance,French,Wei Johnson,6.6,3263,4.5,117,"Guitar, Music Theory, Excel, Negotiation, HTML/CSS",5,Yes,All Levels,9.99,573,2023-11-29,2023,11,False,False
CRS10219,Mastering Digital Marketing in 2025,Marketing,Digital Marketing,Arabic,Carlos Singh,5.0,1385,3.7,41,"Excel, Unreal Engine",2,No,Intermediate,79.99,261,2023-12-14,2023,12,False,False
CRS10245,Digital Marketing for Beginners,Marketing,Digital Marketing,Japanese,Isabella Brown,8.5,7095,5.0,397,"3D Modeling, Node.js",2,No,All Levels,0.0,1059,2025-01-03,2025,1,False,False
CRS10707,Videography Crash Course,Photography & Video,Videography,French,Anastasia Silva,5.4,2106,3.9,103,"Node.js, Scrum",2,No,Intermediate,0.0,156,2025-10-30,2025,10,False,False
CRS10282,Mastering Mobile Development in 2025,Development,Mobile Development,Arabic,Kenji Petrov,2.2,22591,4.4,769,"Copywriting, 3D Modeling, Git",3,No,Advanced,0.0,4031,2023-01-17,2023,1,True,False
CRS10260,Practical Instruments Projects,Music,Instruments,Portuguese,Grace Kumar,2.5,409,4.4,23,Data Visualization,1,No,Beginner,19.99,84,2025-04-25,2025,4,False,False
CRS10483,Mastering Social Media Marketing in 2025,Marketing,Social Media Marketing,Arabic,Yusuf Patel,2.6,3327,4.3,165,"AWS, Video Editing",2,No,Advanced,49.99,212,2023-09-26,2023,9,False,False
CRS10805,Mastering Leadership in 2025,Personal Development,Leadership,Japanese,Thomas Kim,4.0,7201,3.8,254,"React, C++, 3D Modeling, HTML/CSS",4,No,Beginner,59.99,1480,2023-10-29,2023,10,False,False
CRS10747,Advanced Project Management Masterclass,Business,Project Management,Spanish,Fatima Diaz,4.2,26984,4.4,924,"Unreal Engine, Figma, Google Ads, Excel",4,No,Advanced,99.99,1810,2023-11-30,2023,11,True,False
CRS10798,Database Design: Zero to Hero,Development,Database Design,Hindi,Olga Reddy,4.1,4871,4.1,0,"Power BI, Music Theory",2,No,Advanced,34.99,551,2025-03-25,2025,3,False,False
CRS10704,The Ultimate Game Development Course,Development,Game Development,Hindi,Ahmed Kumar,4.2,11703,4.3,314,"Piano, Guitar, C++",3,Yes,Advanced,34.99,2522,2023-12-23,2023,12,False,False
CRS10478,Advanced IT Certifications Masterclass,It & Software,It Certifications,Arabic,David Ali,7.3,75489,4.5,1680,"React, C++, Power BI",3,No,Beginner,79.99,4646,2023-12-22,2023,12,True,False
CRS10815,Mastering Music Theory in 2025,Music,Music Theory,Hindi,Liam Novak,5.8,2501,4.3,61,"Guitar, Negotiation, Networking, Unreal Engine, Agile",5,Yes,All Levels,12.99,397,2026-01-09,2026,1,False,False
CRS10276,Personal Finance: Zero to Hero,Personal Development,Personal Finance,German,Emily Sharma,8.7,4895,4.1,161,Kubernetes,1,No,Advanced,19.99,253,2023-10-17,2023,10,False,False
CRS10446,Leadership: Zero to Hero,Personal Development,Leadership,English,Wei Kim,3.0,1611,4.9,21,"Unreal Engine, Piano",2,Yes,Advanced,19.99,333,2023-09-21,2023,9,False,False
CRS10452,Instruments Crash Course,Music,Instruments,Japanese,Wei Kumar,3.9,3032,4.3,121,"React, Deep Learning, Python, HTML/CSS, Docker",5,No,Beginner,24.99,198,2025-12-30,2025,12,False,False
CRS10210,Social Media Marketing Crash Course,Marketing,Social Media Marketing,Mandarin,Michael Johnson,8.6,4234,4.1,73,"Music Theory, Deep Learning",2,No,Advanced,24.99,1047,2025-09-14,2025,9,False,False
CRS10399,Practical Cybersecurity Projects,It & Software,Cybersecurity,French,Lucia Reddy,5.8,3917,5.0,100,"Docker, Google Ads",2,Yes,Advanced,9.99,802,2024-11-26,2024,11,False,False
CRS10451,SEO Crash Course,Marketing,Seo,Japanese,Hiro Patel,1.8,1664,4.0,56,"Data Visualization, Public Speaking, Machine Learning",3,No,Beginner,12.99,172,2023-07-11,2023,7,False,False
CRS10421,Network & Security for Beginners,It & Software,Network & Security,English,Ahmed Chen,1.6,13963,4.0,780,"Excel, Music Theory, Data Visualization",3,No,Advanced,0.0,982,2024-04-14,2024,4,False,False
CRS10632,Practical Business Strategy Projects,Business,Business Strategy,French,Neha Khan,4.3,3253,3.9,58,Deep Learning,1,Yes,Beginner,12.99,640,2024-04-08,2024,4,False,False
CRS10844,Videography: Zero to Hero,Photography & Video,Videography,Portuguese,Maria Garcia,4.1,2481,3.9,123,"Machine Learning, SQL, C++, 3D Modeling, AWS",5,No,Advanced,99.99,194,2023-02-19,2023,2,False,False
CRS10040,The Ultimate Business Strategy Course,Business,Business Strategy,Mandarin,Wanjiru Garcia,6.0,1258,4.6,56,"Deep Learning, Piano, Excel",3,No,Advanced,19.99,153,2024-10-24,2024,10,False,False
CRS10140,Design Tools Crash Course,Design,Design Tools,Hindi,Noah Sharma,6.4,3286,3.8,77,"Statistics, 3D Modeling",2,No,Intermediate,49.99,176,2023-05-30,2023,5,False,False
CRS10312,Music Theory for Beginners,Music,Music Theory,French,Noah Singh,3.1,3867,3.8,41,"Financial Modeling, Agile, Networking",3,No,Beginner,49.99,626,2025-12-25,2025,12,False,False
CRS10111,Practical Content Marketing Projects,Marketing,Content Marketing,Japanese,Aisha Mueller,11.3,4722,5.0,102,"JavaScript, Cybersecurity Basics, Public Speaking, Kubernetes",4,No,All Levels,0.0,1085,2024-03-29,2024,3,False,False
CRS10410,The Ultimate Instruments Course,Music,Instruments,Japanese,Wanjiru Silva,8.0,1958,4.2,98,"Guitar, Data Visualization",2,No,Beginner,34.99,277,2024-02-27,2024,2,False,False
CRS10031,The Ultimate Business Strategy Course,Business,Business Strategy,Arabic,Olga Garcia,7.7,6136,4.5,87,"HTML/CSS, Guitar, Cybersecurity Basics",3,No,Advanced,24.99,505,2024-05-17,2024,5,False,False
CRS10333,Cybersecurity: Zero to Hero,It & Software,Cybersecurity,Hindi,Noah Reddy,20.3,9179,4.8,501,"Networking, Video Editing, After Effects",3,No,Beginner,0.0,1272,2025-05-31,2025,5,False,True
CRS10212,Photography Basics for Beginners,Photography & Video,Photography Basics,English,Fatima Khan,16.0,2588,3.9,113,"C++, Power BI, AWS, After Effects, Azure",5,No,All Levels,79.99,631,2023-02-08,2023,2,False,True
CRS10465,Practical Finance Projects,Business,Finance,Japanese,Daniel Brown,10.2,59609,4.6,2582,"Python, AWS",2,No,Beginner,59.99,12367,2025-07-21,2025,7,True,False
CRS10358,Practical Design Tools Projects,Design,Design Tools,Mandarin,Rahul Petrov,5.5,2678,3.6,147,"HTML/CSS, Azure, Git",3,No,Beginner,24.99,196,2025-11-17,2025,11,False,False
CRS10717,Cloud Computing Crash Course,It & Software,Cloud Computing,Portuguese,Thomas Mueller,10.0,1093,4.3,55,Public Speaking,1,No,Beginner,12.99,138,2025-02-04,2025,2,False,False
CRS10500,The Ultimate Web Development Course,Development,Web Development,Portuguese,Elena Petrov,8.0,1984,3.7,85,"React, Docker, Unreal Engine",3,Yes,Beginner,59.99,422,2025-11-14,2025,11,False,False
CRS10765,Design Tools for Beginners,Design,Design Tools,English,Elena Singh,6.4,1201,4.9,68,"Financial Modeling, Java, Deep Learning",3,No,All Levels,79.99,126,2024-08-12,2024,8,False,False
CRS10300,IT Certifications for Beginners,It & Software,It Certifications,Hindi,Grace Diaz,7.4,11212,4.5,157,"Excel, Photoshop, Java, Python, Azure",5,No,Advanced,0.0,1588,2025-07-23,2025,7,False,False
CRS10097,Web Development Crash Course,Development,Web Development,Portuguese,Emily Singh,5.8,57568,4.2,1392,"Data Visualization, Cybersecurity Basics",2,No,Intermediate,19.99,7058,2024-10-19,2024,10,True,False
CRS10193,3D & Animation Crash Course,Design,3D & Animation,Portuguese,Ahmed Khan,3.6,4296,4.0,195,"Copywriting, Piano, Public Speaking, Node.js, Kubernetes",5,Yes,Advanced,99.99,963,2024-12-08,2024,12,False,False
CRS10553,Mastering Photography Basics in 2025,Photography & Video,Photography Basics,Hindi,Hiro Silva,7.0,853,4.3,29,"Photoshop, Google Ads, React, Negotiation, Unity",5,No,Beginner,0.0,84,2023-06-01,2023,6,False,False
CRS10356,The Ultimate Digital Marketing Course,Marketing,Digital Marketing,English,Ahmed Rossi,2.7,2411,5.0,41,"Java, Kubernetes, Power BI, Google Ads, Public Speaking",5,No,Beginner,59.99,354,2025-02-20,2025,2,False,False
CRS10637,The Ultimate UX/UI Design Course,Design,Ux/Ui Design,Spanish,Michael Diaz,6.5,3609,4.5,43,"Guitar, HTML/CSS",2,No,Intermediate,19.99,473,2023-04-11,2023,4,False,False
CRS10576,Advanced Music Theory Masterclass,Music,Music Theory,Hindi,Olga Diaz,5.0,597,5.0,28,"Scrum, Financial Modeling, Git",3,Yes,Intermediate,34.99,93,2025-02-05,2025,2,False,False
CRS10266,Complete Instruments Bootcamp,Music,Instruments,French,Liam Petrov,10.7,5324,4.5,154,"Power BI, Azure",2,Yes,Advanced,0.0,485,2023-10-25,2023,10,False,False
CRS10619,Practical SEO Projects,Marketing,Seo,German,Hiro Chen,10.3,14872,4.3,691,"C++, Unity, Copywriting, 3D Modeling",4,Yes,Beginner,49.99,2585,2024-05-17,2024,5,False,False
CRS10653,Cloud Computing for Beginners,It & Software,Cloud Computing,Spanish,Aarav Diaz,4.8,4136,4.5,154,"Machine Learning, JavaScript, Deep Learning",3,No,All Levels,34.99,599,2025-02-19,2025,2,False,False
CRS10696,Advanced Photography Basics Masterclass,Photography & Video,Photography Basics,Arabic,Isabella Johnson,14.3,327,4.4,13,"Figma, Unity",2,No,Advanced,0.0,81,2025-01-23,2025,1,False,True
CRS10588,Mastering Programming Languages in 2025,Development,Programming Languages,Portuguese,Yusuf Fernandez,5.6,9483,4.2,272,"Photoshop, JavaScript, Statistics, Java",4,Yes,Intermediate,34.99,1517,2024-10-31,2024,10,False,False
CRS10345,Productivity for Beginners,Personal Development,Productivity,Arabic,Lucia Brown,1.4,2786,4.3,39,"Machine Learning, Photoshop, Copywriting",3,Yes,Intermediate,49.99,336,2024-10-11,2024,10,False,False
CRS10353,The Ultimate Music Production Course,Music,Music Production,Mandarin,Elena Reddy,10.6,700,4.1,22,"AWS, Public Speaking, Networking, C++",4,No,All Levels,0.0,57,2024-01-22,2024,1,False,False
CRS10773,Productivity Crash Course,Personal Development,Productivity,Arabic,Hiro Patel,6.2,8600,4.3,393,"Cybersecurity Basics, Photoshop, Guitar",3,Yes,Intermediate,34.99,1427,2023-02-03,2023,2,False,False
CRS10328,Advanced UX/UI Design Masterclass,Design,Ux/Ui Design,Spanish,Isabella Sharma,8.9,679,4.7,8,"Video Editing, Cybersecurity Basics",2,No,Intermediate,49.99,156,2023-08-08,2023,8,False,False
CRS10752,Mastering UX/UI Design in 2025,Design,Ux/Ui Design,Portuguese,Wanjiru Chen,3.9,2835,4.4,165,"Music Theory, Unity, HTML/CSS, Docker",4,No,Beginner,49.99,691,2026-01-25,2026,1,False,False
CRS10782,Mastering Project Management in 2025,Business,Project Management,Arabic,Anastasia Reddy,15.0,6840,4.4,216,"Negotiation, SQL, Excel",3,No,Beginner,99.99,1074,2023-02-19,2023,2,False,True
CRS10474,Mastering Cybersecurity in 2025,It & Software,Cybersecurity,Mandarin,Neha Kumar,5.9,6342,5.0,124,"SEO, C++, Machine Learning, Public Speaking",4,No,Intermediate,34.99,1406,2024-12-23,2024,12,False,False
CRS10339,Advanced Sales Masterclass,Business,Sales,Mandarin,David Fernandez,3.9,3150,4.0,157,"Scrum, Piano, Azure, SQL, Node.js",5,Yes,Intermediate,79.99,517,2025-10-19,2025,10,False,False
CRS10121,Complete Cybersecurity Bootcamp,It & Software,Cybersecurity,Mandarin,Neha Rossi,14.7,1761,4.2,104,"Java, Copywriting, Public Speaking, Unreal Engine, Docker",5,No,Intermediate,34.99,383,2024-10-15,2024,10,False,True
CRS10064,Complete Business Strategy Bootcamp,Business,Business Strategy,Portuguese,Thomas Weber,2.8,4367,3.9,56,Photoshop,1,No,All Levels,59.99,698,2023-06-11,2023,6,False,False
CRS10661,Web Development Crash Course,Development,Web Development,French,Emily Kim,16.0,32544,4.8,1243,"Azure, Statistics, Figma",3,No,All Levels,0.0,3327,2023-11-16,2023,11,True,True
CRS10784,Advanced SEO Masterclass,Marketing,Seo,Spanish,Elena Singh,0.8,8673,4.4,207,"Music Theory, Tableau, C++, Azure",4,No,Advanced,59.99,1136,2023-03-28,2023,3,False,False
CRS10579,Game Development: Zero to Hero,Development,Game Development,Japanese,Michael Petrov,5.7,21532,4.6,565,"AWS, Unity, Accounting",3,No,All Levels,34.99,1245,2023-05-06,2023,5,True,False
CRS10066,Practical Network & Security Projects,It & Software,Network & Security,Arabic,Hiro Ito,11.6,3115,4.4,44,"Node.js, Public Speaking, C++",3,No,All Levels,49.99,770,2024-09-12,2024,9,False,False
CRS10501,Mastering Game Development in 2025,Development,Game Development,French,Liam Mueller,8.1,2617,4.5,37,"Piano, Google Ads, Scrum",3,Yes,All Levels,34.99,496,2025-11-15,2025,11,False,False
CRS10169,Advanced Game Development Masterclass,Development,Game Development,German,Wanjiru Weber,3.5,11926,5.0,278,"Java, Copywriting",2,No,All Levels,24.99,2692,2024-07-05,2024,7,False,False
CRS10384,Personal Finance Crash Course,Personal Development,Personal Finance,Hindi,Olga Diaz,7.9,4956,4.1,116,"Piano, Unity, JavaScript",3,No,Intermediate,19.99,740,2025-04-13,2025,4,False,False
CRS10079,Advanced Game Development Masterclass,Development,Game Development,Hindi,Olga Brown,2.1,12300,3.9,504,"Negotiation, Azure, Networking, Accounting",4,No,Advanced,0.0,1498,2025-05-19,2025,5,False,False
CRS10137,Design Tools: Zero to Hero,Design,Design Tools,Hindi,John Khan,1.9,407,5.0,10,"Python, Negotiation, React, Git",4,Yes,All Levels,0.0,97,2024-04-13,2024,4,False,False
CRS10558,Sales: Zero to Hero,Business,Sales,French,David Garcia,1.8,12100,4.3,328,"Tableau, Public Speaking, Excel, Git, JavaScript",5,No,Advanced,12.99,2371,2023-03-14,2023,3,False,False
CRS10548,Personal Finance: Zero to Hero,Personal Development,Personal Finance,Mandarin,Wei Sharma,2.8,2832,4.4,114,"Data Visualization, Accounting, Cybersecurity Basics",3,No,Advanced,79.99,525,2023-03-05,2023,3,False,False
CRS10634,UX/UI Design Crash Course,Design,Ux/Ui Design,Portuguese,Grace Nguyen,9.4,10381,4.4,309,"Deep Learning, Agile, Kubernetes, Scrum, HTML/CSS",5,Yes,All Levels,0.0,1134,2024-07-26,2024,7,False,False
CRS10261,Mastering Graphic Design in 2025,Design,Graphic Design,Arabic,Grace Weber,6.5,2066,5.0,46,"Git, Deep Learning",2,No,All Levels,24.99,450,2025-03-18,2025,3,False,False
CRS10785,Complete Instruments Bootcamp,Music,Instruments,English,Hiro Patel,8.1,2726,4.0,38,Accounting,1,Yes,Advanced,59.99,220,2023-11-04,2023,11,False,False
CRS10589,Videography Crash Course,Photography & Video,Videography,Japanese,Sara Chen,5.8,1554,4.1,33,"Azure, Photoshop, Accounting, Negotiation, Video Editing",5,No,All Levels,24.99,331,2024-04-16,2024,4,False,False
CRS10757,Mobile Development: Zero to Hero,Development,Mobile Development,German,Emily Reddy,5.9,2501,4.4,110,"Scrum, Video Editing, React, Cybersecurity Basics, HTML/CSS",5,Yes,Beginner,24.99,591,2023-07-08,2023,7,False,False
CRS10532,Complete Music Production Bootcamp,Music,Music Production,Spanish,Kenji Khan,12.7,1786,4.4,69,"Docker, After Effects",2,No,Advanced,12.99,264,2024-02-17,2024,2,False,False
CRS10755,Programming Languages for Beginners,Development,Programming Languages,Japanese,Aisha Reddy,2.9,7100,4.6,263,"Piano, Negotiation, Azure, Guitar",4,Yes,Beginner,99.99,705,2025-05-29,2025,5,False,False
CRS10763,Complete Business Strategy Bootcamp,Business,Business Strategy,German,Olga Johnson,12.2,18724,4.2,1016,Java,1,Yes,Beginner,0.0,1260,2025-09-03,2025,9,False,False
CRS10050,The Ultimate Sales Course,Business,Sales,Mandarin,Neha Costa,11.1,45700,4.7,1415,"SEO, AWS, After Effects, Cybersecurity Basics, Google Ads",5,Yes,Advanced,0.0,4548,2025-08-17,2025,8,True,False
CRS10138,Social Media Marketing Crash Course,Marketing,Social Media Marketing,Spanish,Sara Khan,4.2,7178,4.7,358,"AWS, Agile, Financial Modeling, Kubernetes, Node.js",5,No,All Levels,79.99,969,2025-06-25,2025,6,False,False
CRS10199,The Ultimate Web Development Course,Development,Web Development,Arabic,Priya Singh,6.6,8739,4.6,411,Statistics,1,Yes,Advanced,0.0,1180,2025-11-24,2025,11,False,False
CRS10636,Advanced Cybersecurity Masterclass,It & Software,Cybersecurity,Arabic,John Novak,6.4,63637,4.1,3273,"Docker, C++, Figma, SQL, Financial Modeling",5,No,Intermediate,79.99,13153,2025-12-22,2025,12,True,False
CRS10232,Practical 3D & Animation Projects,Design,3D & Animation,Spanish,Aarav Smith,3.9,5469,5.0,100,"Cybersecurity Basics, Scrum, Guitar",3,No,All Levels,9.99,1079,2026-01-09,2026,1,False,False
CRS10677,Content Marketing Crash Course,Marketing,Content Marketing,Portuguese,Sara Johnson,2.5,6811,4.0,287,"Python, 3D Modeling, SQL, Copywriting, Statistics",5,Yes,All Levels,34.99,1355,2025-03-06,2025,3,False,False
CRS10448,Photography Basics for Beginners,Photography & Video,Photography Basics,Hindi,Sara Costa,5.3,10300,4.9,205,Accounting,1,No,Advanced,9.99,1378,2024-04-07,2024,4,False,False
CRS10552,The Ultimate SEO Course,Marketing,Seo,Portuguese,Olga Novak,2.7,9360,4.2,122,"Azure, Scrum",2,Yes,Beginner,34.99,640,2024-06-23,2024,6,False,False
CRS10382,Complete Network & Security Bootcamp,It & Software,Network & Security,Japanese,John Zhang,10.8,188,4.4,7,"C++, Azure, After Effects",3,No,Intermediate,19.99,32,2025-04-14,2025,4,False,False
CRS10034,Social Media Marketing: Zero to Hero,Marketing,Social Media Marketing,French,Carlos Fernandez,3.3,13352,4.5,572,"Music Theory, Unreal Engine, Google Ads, JavaScript, Docker",5,Yes,Advanced,9.99,2185,2024-09-11,2024,9,False,False
CRS10032,Music Theory Crash Course,Music,Music Theory,Portuguese,Fatima Kumar,10.9,3332,4.0,0,"SEO, Unreal Engine, Piano",3,Yes,Intermediate,0.0,273,2024-05-09,2024,5,False,False
CRS10519,Leadership: Zero to Hero,Personal Development,Leadership,French,Kenji Diaz,6.7,6433,4.2,156,"Agile, Music Theory, Azure, After Effects, Financial Modeling",5,No,All Levels,79.99,1354,2025-05-04,2025,5,False,False
CRS10666,Mastering Video Editing in 2025,Photography & Video,Video Editing,German,Sofia Garcia,5.6,8660,4.3,171,"SQL, Agile, Tableau, Photoshop",4,No,Advanced,59.99,472,2023-11-26,2023,11,False,False
CRS10417,Complete Photography Basics Bootcamp,Photography & Video,Photography Basics,Portuguese,Sara Singh,2.7,5868,4.2,86,AWS,1,Yes,Beginner,34.99,796,2025-11-15,2025,11,False,False
CRS10315,Practical Social Media Marketing Projects,Marketing,Social Media Marketing,Portuguese,Daniel Smith,7.1,448,4.1,15,"HTML/CSS, AWS",2,Yes,Advanced,9.99,96,2023-12-26,2023,12,False,False
CRS10681,Design Tools for Beginners,Design,Design Tools,Arabic,Fatima Kumar,8.8,2504,4.1,111,Agile,1,Yes,Beginner,0.0,598,2023-12-27,2023,12,False,False
CRS10488,Practical Instruments Projects,Music,Instruments,Hindi,Isabella Khan,9.1,203,4.4,2,"Public Speaking, 3D Modeling",2,Yes,All Levels,0.0,25,2025-01-10,2025,1,False,False
CRS10627,Advanced Personal Finance Masterclass,Personal Development,Personal Finance,Japanese,Aarav Sharma,5.0,18517,4.4,1082,Financial Modeling,1,No,Advanced,0.0,2325,2025-06-08,2025,6,False,False
CRS10110,Web Development for Beginners,Development,Web Development,Japanese,Wanjiru Rossi,5.8,3935,4.2,113,"Docker, React",2,Yes,All Levels,12.99,560,2024-02-23,2024,2,False,False
CRS10078,Practical Network & Security Projects,It & Software,Network & Security,Spanish,John Weber,5.9,5508,4.2,90,"Docker, Excel, Public Speaking",3,No,All Levels,59.99,1326,2025-08-27,2025,8,False,False
CRS10306,Leadership: Zero to Hero,Personal Development,Leadership,French,Wanjiru Fernandez,6.9,1407,4.8,81,"Unity, Networking, Power BI, Git",4,Yes,All Levels,9.99,127,2025-03-04,2025,3,False,False
